l1,leaf_id,leaf_name,total_all,DE,US,note
Jewelry & Watches,04B879BE-79E7-4CB9-B493-B03F628B5130,Bridal Jewelry Sets,265,0,3,
Jewelry & Watches,1363024200339689472,Brooches,3225,0,2,
Jewelry & Watches,56B4F8B6-8600-4A18-913E-53F2F693EC2C,Rings,38298,0,99,
Jewelry & Watches,D28405AE-66C6-42E6-BFF0-D6FDCB5C083C,Earrings,50034,0,141,
Jewelry & Watches,D7CE9827-F50A-4B07-84BF-1BFE44188A1C,Fine Earrings,1814,5,7,
Jewelry & Watches,3D882765-B20E-4EFD-BFCC-136942A83C4C,Digital Watches,463,0,4,
Bags & Shoes,9F5FDE97-3BE8-4EBE-A8EA-48723A307E37,Briefcases,478,0,2,
Bags & Shoes,EA292A58-E696-428B-8BEB-DE105690DDB3,Crossbody Bags,2088,0,6,
Bags & Shoes,638284D0-3651-4FC9-9F25-B0A0BA323D83,Pumps,7882,0,1,
Bags & Shoes,2410301013451614000,Women's Crossbody Bags,2483,0,10,
Bags & Shoes,8F3ADC01-68FE-4CBE-BB1D-0DE42A730749,Totes,9774,2,48,
Bags & Shoes,2502190401401619600,Men's Insoles,89,2,1,
Phones & Accessories,00134C46-B7DF-4500-A3D9-ABB7B779EFD0,Cables,1195,0,15,
Phones & Accessories,B200FABB-A76B-4750-9957-FEA3DCB21F1F,Chargers,1408,1,15,
Phones & Accessories,496A6FD1-4D2C-4E96-93B3-1BEBF5D7DA34,Cases For iPhone 7 & 7 Plus,247,0,0,
Phones & Accessories,948E69C1-D825-4797-B7F9-8D4FC69A20DA,Xiaomi Cases,58,0,0,
Phones & Accessories,14CC2DBB-21D3-4D3B-A263-75BF069ED074,SIM Card & Tools,45,0,0,
Phones & Accessories,FF1E0375-F5BF-40D9-8B18-708F79D52E44,Touch Panel,43,0,0,
Consumer Electronics,40CC2ED1-8998-4515-9139-787CC25D42A7,Digital Cables,343,0,6,
Consumer Electronics,AD2B299F-EC10-4209-998A-8916AE4D4900,Digital Gear Bags,398,0,3,
Consumer Electronics,A9B643D0-7AA9-4703-A59B-D01C4526CDF9,Projectors & Acessories,193,0,16,
Consumer Electronics,4336FAFE-B9C9-4673-8706-BCFAE1448DA2,Smart Wearable Accessories,603,0,5,
