l1,leaf_id,leaf_name,total_all,DE,note
"Home, Garden & Furniture","1A9A9965-A914-46D7-B8E2-49AD256F2B6B","Curtains","46","15",""
"Home, Garden & Furniture","2601070550351602500","Floor Mats","16","0",""
"Home, Garden & Furniture","300CC260-CF9D-4AEA-9FC2-6C8DB8A35B51","Cushion Covers","126","5",""
"Home, Garden & Furniture","331F43CE-CA1D-45F2-BE2A-8AE62EC10251","Towels","21","0",""
"Home, Garden & Furniture","36F37524-3EAF-4E20-B989-10137FD0ED70","Comforters","60","1",""
"Home, Garden & Furniture","496E6FFC-4BC4-4CA6-8225-5BC0D56E8E11","Bedding Sets","1176","1",""
"Home, Garden & Furniture","6939DA08-F7F8-48FB-A7E8-169AEAC92404","Pillows","249","0",""
"Home, Garden & Furniture","2409230854411618700","Decor Paintings","91","0",""
"Home, Garden & Furniture","664B9B04-4697-437A-AA46-631EFCC3DF03","Lace","7","0",""
"Home, Garden & Furniture","93671B1A-DE8F-4398-B139-8B2214206648","Apparel Sewing & Fabric","68","8",""
"Home, Garden & Furniture","C8AA2A38-B339-468F-87D3-AD2DB0697F93","Cross-Stitch","4","0",""
"Home, Garden & Furniture","D60B979B-3779-47BD-8F55-D17581817273","Ribbons","5","0",""
"Home, Garden & Furniture","EEC881A3-0A55-4BBF-9ADB-EB290116A67A","Diamond Painting Cross Stitch","10","0",""
"Home, Garden & Furniture","FD2629CD-9379-4EC4-BCF3-5998AEA3E642","Fabric","72","13",""
"Home, Garden & Furniture","2502140306571605000","Guitars","11","0",""
"Home, Garden & Furniture","2502140307181607100","Violins","2","0",""
"Home, Garden & Furniture","2603180848241600400","Steel Tongue Drum","9","0",""
"Home, Garden & Furniture","621F9C38-814C-40C2-9F9D-7CE12DB8FB4C","Christmas Decoration Supplies","168","25",""
"Home, Garden & Furniture","768DE38B-3FCB-4DD1-B14C-687F03F78D0A","Invitation Cards","4","0",""
"Home, Garden & Furniture","779524FE-7E6E-4948-A739-999E07602BE5","Cake Decorating Supplies","4","0",""
"Home, Garden & Furniture","7B975B46-46DF-4C3A-BC58-1F4F2DDB9413","Decorative Flowers & Wreaths","483","78",""
"Home, Garden & Furniture","9F52617D-F420-4FA7-8F25-53A9577A9111","Party Masks","34","0",""
"Home, Garden & Furniture","C329460A-9074-4E42-B1FD-D9E91568A64B","Event & Party Supplies","587","49",""
"Home, Garden & Furniture","0F4CFA22-8B97-4016-94A6-18066B9BD05C","Dinnerware","626","1",""
"Home, Garden & Furniture","23ADD7CB-065A-4A02-B8E8-43D3F041B90B","Kitchen Knives & Accessories","","","Insufficient API points. Used today: 68340  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","7C8E809A-460A-4F50-8A2F-B62AD010BFF8","Bakeware","","0","Insufficient API points. Used today: 68340  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","BEDFD1CC-E7CC-438F-9050-D7737904203D","Barware","","","Insufficient API points. Used today: 68390  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","CF330457-0E5B-4FAF-9BAE-7D2C247BD8DE","Drinkware","","","Insufficient API points. Used today: 68390  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","E448A723-43DC-4BD8-A9AD-2FB9699338B4","Cooking Tools","649","","Insufficient API points. Used today: 68440  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","1697200256204677120","Adult Wellness","","1","Insufficient API points. Used today: 68440  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","1711658677159079936","Seasonal products","","","Insufficient API points. Used today: 68490  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","2409230543341601500","Stationeries","26","","Insufficient API points. Used today: 68540  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","2410301014451618100","Furniture","","","Insufficient API points. Used today: 68540  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","2502140315331600200","Storage Bags & Cases & Boxes","","","Insufficient API points. Used today: 68540  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","2601070551041636400","First Aid Supplies","2","","Insufficient API points. Used today: 68590  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","56845C3D-4D9E-4729-B5D4-6D7DE310C031","Kitchen Storage","","38","Insufficient API points. Used today: 68590  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","87CF251F-8D11-4DE0-A154-9694D9858EB3","Home Office Storage","","","Insufficient API points. Used today: 68640  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","A0E89009-FFD6-4B2E-906A-8076DF45B32C","Clothing & Wardrobe Storage","","","Insufficient API points. Used today: 68640  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","B62EE40F-7650-4715-A7A5-BA227540593C","Bathroom Storage","","48","Insufficient API points. Used today: 68640  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home, Garden & Furniture","C1394E10-1EDF-4107-AA93-F142B44C3136","Storage Bottles & Jars","","","Insufficient API points. Used today: 68690  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","DFFFDEDF-42F8-4D1F-B0A3-6B6744F7C1D3","LED Spotlights","209","","Insufficient API points. Used today: 68740  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","7E431502-1275-4FF3-A236-B97C107C3AFA","Flashlights & Torches","","7","Insufficient API points. Used today: 68740  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","A33B0665-E26F-4870-B2B3-B13B4C36EE66","Floodlights","","","Insufficient API points. Used today: 68790  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","E6271C99-8F7B-457D-AE11-3950081DD093","Underwater Lights","","","Insufficient API points. Used today: 68790  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","EDB5F43E-EAC0-489A-8355-5188EAB72D08","String Lights","","2","Insufficient API points. Used today: 68790  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","F9749558-9C47-4612-9411-88FF301DB7AD","Solar Lamps","","","Insufficient API points. Used today: 68840  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","2601070550031612900","Home Improvement Materials","35","","Insufficient API points. Used today: 68890  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","4D7853CE-9E1C-4103-A06F-46401827A535","Measurement & Analysis","","","Insufficient API points. Used today: 68890  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","4E013A02-FB26-4CA4-998C-85CC07623984","Welding & Soldering Supplies","","1","Insufficient API points. Used today: 68890  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
"Home Improvement","52500EBD-C120-4C0E-9EF8-0F381E530633","Welding Equipment","","","Insufficient API points. Used today: 68940  Remaining: 0  Required: 50. To increase your daily points  grow your CJ transaction amount. For details  please refer to: https://developers.cjdropshipping.cn/en/api/api2/standard/points.html"
