l1,leaf_id,leaf_name,total_all,DE,note
"Home Improvement","DFFFDEDF-42F8-4D1F-B0A3-6B6744F7C1D3","LED Spotlights","209","0",""
"Home Improvement","7E431502-1275-4FF3-A236-B97C107C3AFA","Flashlights & Torches","121","7",""
"Home Improvement","A33B0665-E26F-4870-B2B3-B13B4C36EE66","Floodlights","31","0",""
"Home Improvement","E6271C99-8F7B-457D-AE11-3950081DD093","Underwater Lights","7","0",""
"Home Improvement","EDB5F43E-EAC0-489A-8355-5188EAB72D08","String Lights","43","2",""
"Home Improvement","F9749558-9C47-4612-9411-88FF301DB7AD","Solar Lamps","141","0",""
"Home Improvement","2601070550031612900","Home Improvement Materials","35","2",""
"Home Improvement","4D7853CE-9E1C-4103-A06F-46401827A535","Measurement & Analysis","91","0",""
"Home Improvement","4E013A02-FB26-4CA4-998C-85CC07623984","Welding & Soldering Supplies","5","1",""
"Home Improvement","52500EBD-C120-4C0E-9EF8-0F381E530633","Welding Equipment","24","0",""
"Home Improvement","55795653-09E8-4EE6-B477-1E30E7A601B2","Hand Tools","632","277",""
"Home Improvement","7B18EF9A-B48E-4917-84AF-624919C32CA6","Tool Sets","260","26",""
"Home Improvement","924090C3-8179-437F-8219-37582113FB08","Tools Storage","86","6",""
"Home Improvement","964AB089-A154-4971-9A4F-DB9C57E06854","Machine Tools & Accessories","22","0",""
"Home Improvement","9FC79C6B-AE70-472C-B8F8-D62479F0D03E","Power Tools","303","17",""
"Home Improvement","C9F154F8-5782-40E7-B749-3CF89763F16D","Woodworking Machinery","40","2",""
"Home Improvement","CDB10A90-3D34-4396-99B2-919E7CAD4B53","Garden Tools","861","51",""
"Home Improvement","02EA33AA-4174-497D-86F4-D4FF9E525B81","Personal Care Appliances","203","0",""
"Home Improvement","3633986F-83D2-4A6F-8F4D-79EE2CF77B8F","Cleaning Appliances","105","0",""
"Home Improvement","36686698-230D-46F9-A076-8CC61AE36CE3","Air Conditioning Appliances","40","1",""
"Home Improvement","4D91D172-D6D0-429E-AABC-6F3325A273A6","Home Appliance Parts","408","3",""
"Home Improvement","A028998B-C8CF-4533-BBE4-E04FA244CDC6","Kitchen Appliances","220","9",""
"Home Improvement","02795B1D-0E81-4201-B6D5-19A2605DEC10","Chandeliers","127","2",""
"Home Improvement","0591D043-4EFC-494A-9901-358197CC3D18","Pendant Lights","48","0",""
"Home Improvement","36C55794-4437-4782-B8CF-D265C12CA4E5","Downlights","49","5",""
"Home Improvement","538CB48E-B7A0-46F7-B5A2-BB8183247B23","Night Lights","1121","0",""
"Home Improvement","AC4A8F93-27FF-4531-8394-53E97F02159D","Wall Lamps","617","12",""
"Home Improvement","D6A70719-5E93-40E6-AE8B-A060D667A17B","Ceiling Lights","505","0",""
